time_sec,baseline_retention,baseline_std
795,68.04,11.06
796,68.02,11.07
797,68.01,11.09
798,67.99,11.1
799,67.97,11.11
800,67.95,11.12
801,67.94,11.13
802,67.92,11.12
803,67.9,11.12
804,67.88,11.12
805,67.87,11.13
806,67.85,11.13
807,67.83,11.13
808,67.81,11.13
809,67.79,11.13
810,67.78,11.13
811,67.76,11.13
812,67.74,11.14
813,67.72,11.14
814,67.71,11.14
815,67.69,11.15
816,67.67,11.15
817,67.66,11.16
818,67.64,11.17
819,67.63,11.17
820,67.62,11.18
821,67.61,11.19
822,67.6,11.19
823,67.6,11.2
824,67.6,11.2
825,67.59,11.21
826,67.59,11.21
827,67.58,11.22
828,67.58,11.23
829,67.57,11.24
830,67.57,11.25
831,67.56,11.26
832,67.56,11.27
833,67.56,11.28
834,67.55,11.29
835,67.54,11.3
836,67.54,11.32
837,67.53,11.33
838,67.53,11.33
839,67.52,11.33
840,67.52,11.33
841,67.51,11.32
842,67.5,11.31
843,67.49,11.3
844,67.48,11.29
845,67.47,11.29
846,67.46,11.28
847,67.45,11.27
848,67.44,11.27
849,67.43,11.26
850,67.42,11.26
851,67.41,11.25
852,67.4,11.25
853,67.39,11.24
854,67.39,11.23
855,67.38,11.22
856,67.37,11.22
857,67.36,11.21
858,67.35,11.2
859,67.35,11.19
860,67.34,11.19
861,67.33,11.18
862,67.33,11.17
863,67.32,11.17
864,67.32,11.16
865,67.31,11.16
866,67.3,11.15
867,67.3,11.15
868,67.29,11.15
869,67.29,11.14
870,67.28,11.14
871,67.27,11.14
872,67.27,11.14
873,67.26,11.14
874,67.26,11.14
875,67.25,11.15
876,67.24,11.15
877,67.24,11.16
878,67.23,11.16
879,67.23,11.16
880,67.22,11.16
881,67.21,11.16
882,67.21,11.17
883,67.2,11.17
884,67.19,11.17
885,67.18,11.17
886,67.18,11.17
887,67.17,11.18
888,67.16,11.18
889,67.16,11.18
890,67.15,11.19
891,67.14,11.19
892,67.13,11.19
893,67.13,11.2
894,67.12,11.2
895,67.11,11.2
896,67.1,11.21
897,67.1,11.21
898,67.09,11.22
899,67.08,11.22
900,67.07,11.23
901,67.07,11.23
902,67.05,11.23
903,67.03,11.24
904,67.02,11.24
905,67.0,11.24
906,66.98,11.25
907,66.96,11.25
908,66.95,11.26
909,66.93,11.26
910,66.91,11.26
911,66.89,11.27
912,66.88,11.27
913,66.86,11.28
914,66.84,11.28
915,66.82,11.29
916,66.81,11.29
917,66.79,11.3
918,66.77,11.31
919,66.76,11.31
920,66.74,11.32
921,66.72,11.32
922,66.71,11.31
923,66.69,11.31
924,66.68,11.3
925,66.66,11.3
926,66.65,11.29
927,66.63,11.29
928,66.62,11.29
929,66.6,11.29
930,66.59,11.28
931,66.57,11.28
932,66.56,11.28
933,66.54,11.28
934,66.53,11.27
935,66.52,11.27
936,66.5,11.27
937,66.49,11.27
938,66.47,11.27
939,66.46,11.27
940,66.44,11.27
941,66.43,11.26
942,66.43,11.26
943,66.42,11.26
944,66.42,11.26
945,66.41,11.26
946,66.4,11.26
947,66.4,11.26
948,66.39,11.26
949,66.38,11.26
950,66.37,11.26
951,66.36,11.26
952,66.35,11.26
953,66.34,11.26
954,66.34,11.26
955,66.33,11.26
956,66.32,11.26
957,66.31,11.27
958,66.3,11.27
959,66.3,11.27
960,66.29,11.27
961,66.29,11.26
962,66.29,11.25
963,66.29,11.24
964,66.29,11.23
965,66.29,11.22
966,66.29,11.21
967,66.29,11.2
968,66.29,11.19
969,66.29,11.19
970,66.29,11.18
971,66.29,11.17
972,66.29,11.16
973,66.3,11.15
974,66.3,11.15
975,66.3,11.14
976,66.3,11.13
977,66.3,11.13
978,66.3,11.12
979,66.3,11.12
980,66.29,11.12
981,66.28,11.12
982,66.27,11.12
983,66.25,11.12
984,66.23,11.12
985,66.22,11.12
986,66.2,11.12
987,66.19,11.12
988,66.17,11.13
989,66.16,11.13
990,66.14,11.13
991,66.12,11.14
992,66.11,11.14
993,66.09,11.14
994,66.08,11.14
995,66.07,11.15
996,66.05,11.15
997,66.04,11.16
998,66.03,11.16
999,66.01,11.17
1000,66.0,11.17
1001,65.98,11.17
1002,65.97,11.17
1003,65.95,11.17
1004,65.93,11.18
1005,65.92,11.18
1006,65.9,11.18
1007,65.88,11.18
1008,65.87,11.19
1009,65.85,11.19
1010,65.83,11.19
1011,65.81,11.2
1012,65.8,11.2
1013,65.78,11.2
1014,65.76,11.21
1015,65.75,11.21
1016,65.73,11.21
1017,65.71,11.21
1018,65.69,11.22
1019,65.68,11.22
1020,65.66,11.23
1021,65.65,11.23
1022,65.63,11.24
1023,65.62,11.24
1024,65.61,11.25
1025,65.59,11.25
1026,65.58,11.26
1027,65.57,11.26
1028,65.55,11.27
1029,65.54,11.27
1030,65.53,11.28
1031,65.51,11.28
1032,65.5,11.29
1033,65.48,11.29
1034,65.47,11.3
1035,65.46,11.3
1036,65.45,11.3
1037,65.44,11.3
1038,65.43,11.29
1039,65.42,11.28
1040,65.42,11.27
1041,65.42,11.26
1042,65.41,11.24
1043,65.41,11.23
1044,65.4,11.22
1045,65.4,11.2
1046,65.4,11.19
1047,65.39,11.18
1048,65.39,11.16
1049,65.38,11.15
1050,65.38,11.14
1051,65.38,11.13
1052,65.37,11.13
1053,65.36,11.12
1054,65.35,11.12
1055,65.34,11.12
1056,65.33,11.12
1057,65.33,11.12
1058,65.31,11.12
1059,65.3,11.12
1060,65.28,11.12
1061,65.26,11.12
1062,65.24,11.12
1063,65.22,11.12
1064,65.2,11.12
1065,65.18,11.12
1066,65.16,11.12
1067,65.14,11.12
1068,65.12,11.12
1069,65.1,11.12
1070,65.08,11.12
1071,65.07,11.12
1072,65.05,11.12
1073,65.03,11.12
1074,65.02,11.12
1075,65.0,11.12
1076,64.99,11.12
1077,64.98,11.11
1078,64.97,11.11
1079,64.96,11.12
1080,64.95,11.12
1081,64.94,11.12
1082,64.93,11.13
1083,64.93,11.13
1084,64.92,11.13
1085,64.91,11.14
1086,64.9,11.14
1087,64.89,11.15
1088,64.88,11.15
1089,64.86,11.15
1090,64.85,11.16
1091,64.83,11.16
1092,64.81,11.16
1093,64.8,11.16
1094,64.78,11.16
1095,64.76,11.17
1096,64.75,11.17
1097,64.73,11.17
1098,64.71,11.17
1099,64.7,11.18
1100,64.68,11.18
1101,64.66,11.18
1102,64.65,11.18
1103,64.64,11.18
1104,64.62,11.18
1105,64.61,11.18
1106,64.6,11.18
1107,64.59,11.18
1108,64.57,11.18
1109,64.56,11.18
1110,64.55,11.18
1111,64.53,11.19
1112,64.52,11.19
1113,64.51,11.19
1114,64.5,11.19
1115,64.48,11.2
1116,64.47,11.2
1117,64.46,11.2
1118,64.44,11.21
1119,64.43,11.21
1120,64.42,11.21
1121,64.4,11.21
1122,64.38,11.21
