features_file_id,features_status,idx,retention_points_raw,retention_source_file,retention_source_file_id,retention_status,status,transcript_drive_file_id,transcript_filename,transcript_path,transcript_source_type,video_folder
1km5YAGVdLUlJEF5OXt4ICyD8tegwh7i-,downloaded,53,101,retention.csv,1LiqxO-mB_WDWBF2XREwEe4VWarLb5-24,ok,ok,1Tvhdx_mmhik3hOCy7LNWd--_qdfK10xJ,whisper_segments.csv,transcripts,csv_timestamps,mBzEZBF1a_U
1g6PKHmTQUki7V3q6m6EqInN7_t52Y4ry,downloaded,54,101,retention.csv,1U6rdqH5SRRIsMMq436dHMpLNSOVsdyiS,ok,ok,1tTFOvKT9D1Arj325G-cT689vpqunEX1P,whisper_segments.csv,transcripts,csv_timestamps,Mc0b511IaVU
1nAXZfgHU9mreMT-9Lw6eLzzaf0q005f7,downloaded,55,100,retention.csv,1Ce0exvps8BsVhEcRU6P0mvI3UvVwjfXC,ok,ok,1bL59BPMpjlUJlI6p568cw6PawQJO0yQ-,whisper_segments.csv,transcripts,csv_timestamps,mM6sYTdPZ-0
1Xd8-4Ri_xYLQKueNPZHMSIM5HF-DjMtH,downloaded,56,100,retention.csv,1mjT7ttD7SNkQqywcByNXZPMDH7UnE52s,ok,ok,16ONEfUSvEziB60mxHw17JpfIcVRMqtj_,whisper_segments.csv,transcripts,csv_timestamps,NE38Pn3CYRc
1Op7nwB6oszRdecT8EmPVBvVb8rQiNNxf,downloaded,57,101,retention.csv,1BLwVy7Cp3JbmZyFjHwoIwcT3NjKORkXo,ok,ok,19eU666NOwSixS-d3sTeoQIa4ThvQx1tk,whisper_segments.csv,transcripts,csv_timestamps,Nvq6okhPSOw
1_63FepjZg69PpNheur-jpe4LZeMTtLrA,downloaded,58,101,retention.csv,1sJCTVkakp1Ay8E33MIUfIBxZeZQAVrC6,ok,ok,1FmWni9ZOuuTNmkXpEmEhzAm618nJqRSG,whisper_segments.csv,transcripts,csv_timestamps,OpuMLYUuP_M
1FSGAAqyJFu1Wjxh45PdeN-wYbNj9XcsG,downloaded,59,101,retention.csv,1yDlQOQ-jLw1eHsdOqKvtsQPuAvWNvRFc,ok,ok,19aC2GtOgASVjVDTKIO9cESv79T6Le4Sf,whisper_segments.csv,transcripts,csv_timestamps,P9bVljfAWS8
1VeClaFTrbZrX47_2vNvWyuduj9H_hbvo,downloaded,60,101,retention.csv,1rn88mYmtVq_orT1J0vYkg0LQlp9CLZPh,ok,ok,1ddvwDtnD3ctXnH8PPLEGKi6zuvbAHl2F,whisper_segments.csv,transcripts,csv_timestamps,pfacUo-6wNs
182Uh5p_H1XJ4Rm1I_doNchP4Zvs_Bq-n,downloaded,61,101,retention.csv,1PY5M7rN2FDYo4dqhHtcbev9pFLIl0CMR,ok,ok,1a5gUiaRzx1mlMoW5mPA7x8_1B4ChV7he,whisper_segments.csv,transcripts,csv_timestamps,PmWIzDuQUQg
1t9Nhkml_CHQYhZo2supby9mcpaGupQFl,downloaded,62,101,retention.csv,1cDh4Gbyf8ZnonXJBU6TPMBYox0o4iZ-6,ok,ok,1B0xEOttM_JzANVcgXjkxGVNaxBRSbec1,whisper_segments.csv,transcripts,csv_timestamps,porv8WwTSgc
1aM9SI9kWQQHwZMx5yO4GU_QSitwkQ1Sz,downloaded,63,101,retention.csv,1EBnttGuGEm7T6tHdtl0WgRHsfRL5ljE2,ok,ok,11itbpVnqfXmid_Qwd9IBuk8P0gmoKUqj,whisper_segments.csv,transcripts,csv_timestamps,PYMF1TaqpE4
